gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4516779132	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/197730106	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica		CL		Región Metropolitana de Santiago	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-33.317136	-70.260017	5.0						2024-01-06T14:34	6	1	2024	6026493	6026493	HUMAN_OBSERVATION	iNaturalist	Observations	197730106		Patrick Sweeney	2024-01-27T21:40:52	CC_BY_4_0	Patrick Sweeney	Patrick Sweeney			2024-12-16T11:47:36.933Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4500851707	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/99835026	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica		CL		Región Metropolitana de Santiago	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-33.317605	-70.260031	70.0						2021-10-30T13:07:53	30	10	2021	6026493	6026493	HUMAN_OBSERVATION	iNaturalist	Observations	99835026		Marceau Coppée	2023-01-29T10:24:40	CC_BY_NC_4_0	mildred_ehrenfeld	mildred_ehrenfeld			2024-12-16T11:33:36.407Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4500720813	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/112266917	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica		CL		Región Metropolitana de Santiago	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-33.344176	-70.253356							2022-04-17T12:41:11	17	4	2022	6026493	6026493	HUMAN_OBSERVATION	iNaturalist	Observations	112266917		Marceau Coppée	2023-01-29T10:17:35	CC_BY_NC_4_0	valeguzmansalazar	valeguzmansalazar			2024-12-16T12:09:13.512Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
438755090	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p03223885	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos	Clos				PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													6026493	6026493	PRESERVED_SPECIMEN	MNHN	P	P03223885				CC_BY_4_0					2025-01-08T19:23:42.863Z	StillImage	
438755089	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p03223886	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos	Clos				PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													6026493	6026493	PRESERVED_SPECIMEN	MNHN	P	P03223886				CC_BY_4_0					2025-01-08T19:23:52.724Z	StillImage	
438300719	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p00115309	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella bolacina Clos	Azorella bolacina Clos	Clos	CL			PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													3632144	6026493	PRESERVED_SPECIMEN	MNHN	P	P00115309		Clos		CC_BY_4_0		Gay, C.	HOLOTYPE		2025-01-08T19:21:53.671Z	StillImage	
438089101	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p03223887	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos	Clos				PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													6026493	6026493	PRESERVED_SPECIMEN	MNHN	P	P03223887				CC_BY_4_0					2025-01-08T19:23:56.358Z	StillImage	
438089100	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p03223888	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos	Clos				PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													6026493	6026493	PRESERVED_SPECIMEN	MNHN	P	P03223888				CC_BY_4_0					2025-01-08T19:23:44.449Z	StillImage	
437756167	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p03223884	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos	Clos				PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													6026493	6026493	PRESERVED_SPECIMEN	MNHN	P	P03223884				CC_BY_4_0					2025-01-08T19:22:28.835Z	StillImage	
436969531	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p00115310	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella bolacina Clos	Azorella bolacina Clos	Clos	CL			PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													3632144	6026493	PRESERVED_SPECIMEN	MNHN	P	P00115310		Clos		CC_BY_4_0		Gay, C.	ISOTYPE		2025-01-08T19:23:14.054Z	StillImage	
