Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.8951E-4,5.00823873,0.03748393,0.017857143,0,0
4.16558E-4,5.250125686,0.040034064,0.017258579,0,0
4.46317E-4,5.51008966,0.042832016,0.016660016,0,0
4.65443E-4,5.784694325,0.044625974,0.016061453,0,0
5.0169E-4,6.027988355,0.048016465,0.01556265,0,0
5.12483E-4,6.282094199,0.049023773,0.015063847,0,0
5.48314E-4,6.547449794,0.052359997,0.014565044,0,0
5.62165E-4,6.769921751,0.053646592,0.014166002,0,0
5.89574E-4,7.000108302,0.056187279,0.013766959,0,0
6.30088E-4,7.306117373,0.059930352,0.013268156,0,0
6.7144E-4,7.504168217,0.063735517,0.012968875,0,0
7.44225E-4,7.794331422,0.07039571,0.012569832,0,0
7.86403E-4,8.026534323,0.074233568,0.012270551,0,0
8.06369E-4,8.265681036,0.076044735,0.011971269,0,0
8.45068E-4,8.515324895,0.079545126,0.011671987,0,0
8.99601E-4,8.780685016,0.084455352,0.011372706,0,0
9.1857E-4,9.054921383,0.086157165,0.011073424,0,0
9.48274E-4,9.334411617,0.088815747,0.010774142,0,0
9.79456E-4,9.527348878,0.09159827,0.010574621,0,0
1.0772E-3,9.839262446,0.100265596,0.010275339,0,0
1.09136E-3,10.056810974,0.101514182,0.010075818,0,0
1.10442E-3,10.27712324,0.102664811,0.009876297,0,0
1.13471E-3,10.5036173,0.105326707,0.009676776,0,0
1.20164E-3,10.861118887,0.111180531,0.009377494,0,0
1.26978E-3,11.108298323,0.1171013,0.009177973,0,0
1.3564E-3,11.37902297,0.124570815,0.008978452,0,0
1.38365E-3,11.517387862,0.126907095,0.008878691,0,0
1.4109E-3,11.798273769,0.129237951,0.00867917,0,0
1.57501E-3,12.105594271,0.143141382,0.008479649,0,0
1.59508E-3,12.265102667,0.144827115,0.008379888,0,0
1.63601E-3,12.588707105,0.148252819,0.008180367,0,0
1.71136E-3,12.759842694,0.154524424,0.008080607,0.041666667,0
1.7727E-3,13.112969189,0.159596406,0.007881085,0.041666667,0
1.77294E-3,13.290263261,0.159616095,0.007781325,0.041666667,0
2.01597E-3,13.692838609,0.179411315,0.007581804,0.041666667,0
2.11504E-3,13.90434282,0.187346946,0.007482043,0.041666667,0
2.12592E-3,14.116934572,0.18821334,0.007382283,0.041666667,0
2.18602E-3,14.33553691,0.19298507,0.007282522,0.041666667,0
2.37552E-3,14.57308874,0.207845997,0.007182761,0.041666667,0
2.4733E-3,14.820418898,0.215407181,0.007083001,0.041666667,0
2.55968E-3,15.076386605,0.22202619,0.00698324,0.041666667,0
2.74576E-3,15.350962249,0.236096464,0.00688348,0.041666667,0
2.8353E-3,15.634492729,0.242776623,0.006783719,0.041666667,0
2.86259E-3,15.92075145,0.244800213,0.006683958,0.041666667,0
2.89391E-3,16.210142756,0.247117043,0.006584198,0.041666667,0
2.94202E-3,16.504344274,0.250660801,0.006484437,0.041666667,0
2.96659E-3,16.801003745,0.252465169,0.006384677,0.041666667,0
